Name,County,Population,MedianAge,Household Income,PerCapitaIncome,UnemploymentCount,PovertyCount,PovertyRate,State,abbr,UnemployementRate,MedicialPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicialAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
"Barceloneta Municipio, Puerto Rico",Barceloneta Municipio,24583,38.7,17113,8762,1319,11936,48.5538787,Puerto Rico,PR,0.053654965,,,,,,,,,
"Loíza Municipio, Puerto Rico",Loíza Municipio,27242,37.5,17273,8729,3012,14113,51.8060348,Puerto Rico,PR,0.110564569,,,,,,,,,
"Yauco Municipio, Puerto Rico",Yauco Municipio,37585,42.1,14451,8124,2847,18800,50.01995477,Puerto Rico,PR,0.075748304,,,,,,,,,
"Guaynabo Municipio, Puerto Rico",Guaynabo Municipio,90773,42.7,34060,24264,4297,24289,26.75795666,Puerto Rico,PR,0.047337865,,,,,,,,,
"Aguadilla Municipio, Puerto Rico",Aguadilla Municipio,55722,40.6,16821,10872,4040,27928,50.12023976,Puerto Rico,PR,0.072502782,,,,,,,,,
"Cabo Rojo Municipio, Puerto Rico",Cabo Rojo Municipio,49726,42.3,16461,9523,1835,26021,52.32876161,Puerto Rico,PR,0.036902224,,,,,,,,,
"Fajardo Municipio, Puerto Rico",Fajardo Municipio,33075,40.7,18941,10900,4019,14371,43.44973545,Puerto Rico,PR,0.12151171599999999,,,,,,,,,
"Las Marías Municipio, Puerto Rico",Las Marías Municipio,8874,40.1,14404,7154,57,5070,57.13319811,Puerto Rico,PR,0.006423259000000001,,,,,,,,,
"Patillas Municipio, Puerto Rico",Patillas Municipio,17769,43.3,14512,8679,1004,10182,57.30204288,Puerto Rico,PR,0.056502897999999996,,,,,,,,,
"Rincón Municipio, Puerto Rico",Rincón Municipio,14526,44.6,18292,10220,708,7047,48.51301115,Puerto Rico,PR,0.04874019,,,,,,,,,
"Villalba Municipio, Puerto Rico",Villalba Municipio,23659,37.6,19893,10449,2268,11740,49.62170844,Puerto Rico,PR,0.09586204,,,,,,,,,
"Aguas Buenas Municipio, Puerto Rico",Aguas Buenas Municipio,26855,40.4,16733,10615,1941,12910,48.07298455,Puerto Rico,PR,0.072277043,,,,,,,,,
"Bayamón Municipio, Puerto Rico",Bayamón Municipio,188614,40.4,25528,14138,11392,63445,33.63748184,Puerto Rico,PR,0.060398485999999994,,,,,,,,,
"Carolina Municipio, Puerto Rico",Carolina Municipio,161684,41.1,29082,16188,10203,46686,28.87484228,Puerto Rico,PR,0.06310457400000001,,,,,,,,,
"Cayey Municipio, Puerto Rico",Cayey Municipio,45431,41.0,20442,12594,1746,19785,43.54955867,Puerto Rico,PR,0.038431908,,,,,,,,,
"Monroe County, Alabama",Monroe County,21745,41.7,26036,17264,1691,7249,33.33639917,Alabama,AL,0.077765003,,,,,,,,,
"Lawrence County, Alabama",Lawrence County,33288,42.0,43779,22419,972,5490,16.4924297,Alabama,AL,0.029199712000000003,,,,,,,,,
"Lee County, Alabama",Lee County,156597,31.0,47564,26170,4371,33132,21.15749344,Alabama,AL,0.027912412,35%,17%,29%,19%,"$64,614.4 ","$31,384.1 ","$53,537.6 ","$35,076.4 ","$136,953 "
"Marion County, Alabama",Marion County,30058,44.1,35719,21835,691,5175,17.21671435,Alabama,AL,0.022988888,,,,,,,,,
"Pickens County, Alabama",Pickens County,20170,42.1,36220,20089,958,4340,21.51710461,Alabama,AL,0.047496282,,,,,,,,,
"Sumter County, Alabama",Sumter County,13084,35.9,21663,14739,672,4398,33.61357383,Alabama,AL,0.05136044,,,,,,,,,
"Jefferson County, Alabama",Jefferson County,659460,37.6,49321,29456,25044,113368,17.19103509,Alabama,AL,0.037976526000000004,45%,17%,26%,12%,"$83,075.6 ","$31,384.1 ","$47,999.3 ","$22,153.5 ","$115,941 "
"Choctaw County, Alabama",Choctaw County,13188,45.8,32122,20994,468,2903,22.01243555,Alabama,AL,0.035486806,,,,,,,,,
"Franklin County, Alabama",Franklin County,31507,37.7,39501,19314,1114,7175,22.77271717,Alabama,AL,0.035357222,,,,,,,,,
"Marengo County, Alabama",Marengo County,19743,42.1,32255,22996,975,5000,25.3254318,Alabama,AL,0.049384592000000005,45%,17%,29%,9%,"$83,075.6 ","$31,384.1 ","$53,537.6 ","$16,615.1 ","$74,335 "
"Russell County, Alabama",Russell County,58480,35.3,38988,21279,2465,12024,20.56087551,Alabama,AL,0.042151163,51%,17%,28%,4%,"$94,152.4 ","$31,384.1 ","$51,691.5 ","$7,384.5 ","$95,871 "
"Cherokee County, Alabama",Cherokee County,25855,46.1,40041,23010,557,4104,15.87313866,Alabama,AL,0.021543222,,,,,,,,,
"Covington County, Alabama",Covington County,37519,43.4,39467,22431,1759,6491,17.30056771,Alabama,AL,0.046882913,43%,10%,25%,22%,"$79,383.4 ","$18,461.3 ","$46,153.1 ","$40,614.8 ","$140,630 "
"Crenshaw County, Alabama",Crenshaw County,13866,41.4,38937,21580,389,2399,17.30131256,Alabama,AL,0.028054232999999998,,,,,,,,,
"Dallas County, Alabama",Dallas County,40755,39.3,30065,18248,2302,12795,31.39492087,Alabama,AL,0.056483867,57%,14%,23%,6%,"$105,229.1 ","$25,845.8 ","$42,460.9 ","$11,076.8 ","$115,107 "
"Lauderdale County, Alabama",Lauderdale County,92590,41.5,44888,25803,2798,14701,15.87752457,Alabama,AL,0.030219246,34%,14%,27%,25%,"$62,768.3 ","$25,845.8 ","$49,845.4 ","$46,153.1 ","$100,764 "
"Lowndes County, Alabama",Lowndes County,10362,40.7,29785,18976,446,3095,29.86875121,Alabama,AL,0.043041884,,,,,,,,,
"Macon County, Alabama",Macon County,19358,38.0,32308,19564,1251,4380,22.62630437,Alabama,AL,0.064624445,55%,22%,25%,-2%,"$101,536.9 ","$40,614.8 ","$46,153.1 ","($3,692.3)","$105,436 "
