Name,County,Population,Median Age,Household Income,Per Capita Income,Unemployment Count,Poverty Count,Poverty Rate,State
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,6473.0,41.0,52114.0,26695.0,433.0,1027.0,15.86590452649467, Alaska
"Wrangell City and Borough, Alaska",Wrangell City and Borough,2475.0,49.1,56094.0,29943.0,83.0,287.0,11.595959595959595, Alaska
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,2146.0,48.9,57900.0,33704.0,138.0,238.0,11.09040074557316, Alaska
"Skagway Municipality, Alaska",Skagway Municipality,1038.0,42.9,70673.0,39376.0,60.0,58.0,5.5876685934489405, Alaska
"Petersburg Borough, Alaska",Petersburg Borough,3275.0,41.7,63490.0,35044.0,82.0,256.0,7.816793893129771, Alaska
"Kusilvak Census Area, Alaska",Kusilvak Census Area,8129.0,24.0,36468.0,11693.0,858.0,3163.0,38.91007503998032, Alaska
"Pima County, Arizona",Pima County,1007257.0,38.2,48676.0,27323.0,40004.0,179569.0,17.82752564638419, Arizona
"Maricopa County, Arizona",Maricopa County,4155501.0,36.0,58580.0,30186.0,124210.0,644476.0,15.508984355917613, Arizona
"Gila County, Arizona",Gila County,53145.0,49.3,41179.0,22433.0,2405.0,11427.0,21.50155235675981, Arizona
"Graham County, Arizona",Graham County,37700.0,33.1,48173.0,17874.0,1722.0,7089.0,18.80371352785146, Arizona
"Santa Cruz County, Arizona",Santa Cruz County,46358.0,36.6,39630.0,19482.0,1657.0,10049.0,21.676948962422884, Arizona
"Cochise County, Arizona",Cochise County,126516.0,40.5,47847.0,24896.0,3591.0,21054.0,16.64137342312435, Arizona
"La Paz County, Arizona",La Paz County,20477.0,56.0,36479.0,21707.0,681.0,3971.0,19.39248913415051, Arizona
"Mohave County, Arizona",Mohave County,204691.0,50.4,41567.0,23527.0,7853.0,37080.0,18.115110092773985, Arizona
"Apache County, Arizona",Apache County,71602.0,34.2,32360.0,13865.0,2983.0,25225.0,35.229462864165804, Arizona
"Coconino County, Arizona",Coconino County,138639.0,30.6,53523.0,25722.0,5933.0,26719.0,19.272354820793574, Arizona
"Yavapai County, Arizona",Yavapai County,220972.0,52.2,48259.0,27504.0,6621.0,31859.0,14.41766377640606, Arizona
"Yuma County, Arizona",Yuma County,204281.0,34.1,43253.0,20600.0,9137.0,39161.0,19.170162668089542, Arizona
"Greenlee County, Arizona",Greenlee County,9368.0,33.4,56298.0,24935.0,302.0,1069.0,11.411187019641332, Arizona
"Navajo County, Arizona",Navajo County,107902.0,35.9,38798.0,17685.0,6475.0,30548.0,28.310874682582345, Arizona
"Pinal County, Arizona",Pinal County,405537.0,38.5,52628.0,22944.0,12337.0,58750.0,14.486964198087968, Arizona
"White County, Arkansas",White County,78706.0,36.3,44074.0,23120.0,2141.0,12354.0,15.696389093588799, Arkansas
"Nevada County, Arkansas",Nevada County,8528.0,43.8,36995.0,18644.0,167.0,1920.0,22.5140712945591, Arkansas
"St. Francis County, Arkansas",St. Francis County,26688.0,38.4,33102.0,16518.0,966.0,6363.0,23.842176258992804, Arkansas
"Pulaski County, Arkansas",Pulaski County,392848.0,36.7,48850.0,29855.0,11363.0,67056.0,17.069197246772287, Arkansas
"Clay County, Arkansas",Clay County,15190.0,43.4,32219.0,19171.0,348.0,3339.0,21.981566820276498, Arkansas
"Cross County, Arkansas",Cross County,17164.0,40.7,41081.0,22894.0,532.0,3041.0,17.71731531111629, Arkansas
"Dallas County, Arkansas",Dallas County,7585.0,43.7,35794.0,18309.0,200.0,906.0,11.944627554383652, Arkansas
"Drew County, Arkansas",Drew County,18620.0,36.5,36092.0,20300.0,753.0,4246.0,22.80343716433942, Arkansas
"Columbia County, Arkansas",Columbia County,23992.0,36.2,37072.0,20296.0,1038.0,5553.0,23.145215071690565, Arkansas
"Randolph County, Arkansas",Randolph County,17514.0,42.2,35930.0,20932.0,238.0,3557.0,20.30946671234441, Arkansas
"Saline County, Arkansas",Saline County,116252.0,39.0,58985.0,28410.0,2522.0,9210.0,7.922444345043526, Arkansas
"Van Buren County, Arkansas",Van Buren County,16751.0,47.6,34428.0,20568.0,508.0,3250.0,19.401826756611545, Arkansas
"Boone County, Arkansas",Boone County,37212.0,42.2,40727.0,22288.0,1018.0,5767.0,15.497688917553477, Arkansas
"Izard County, Arkansas",Izard County,13521.0,48.0,39135.0,19737.0,488.0,2238.0,16.552030175282894, Arkansas
"Independence County, Arkansas",Independence County,37097.0,39.8,39945.0,23056.0,973.0,6628.0,17.866673855028708, Arkansas
"Lincoln County, Arkansas",Lincoln County,13885.0,38.6,38873.0,13142.0,297.0,1620.0,11.66726683471372, Arkansas
"Logan County, Arkansas",Logan County,21802.0,42.2,37982.0,19708.0,731.0,4326.0,19.842216310430235, Arkansas
"Grant County, Arkansas",Grant County,18076.0,39.9,49968.0,25814.0,717.0,2579.0,14.267537065722506, Arkansas
